order_id,product,client_id,order_date,money_spent
24,b,474,2017-02-10,25.45
24,a,474,2017-02-10,3.88
24,b,474,2017-02-10,50.48
24,a,474,2017-02-10,75.77
24,a,474,2017-02-10,187.27
25,b,466,2017-03-19,22.23
25,a,466,2017-03-19,82.88
25,b,466,2017-03-19,23.25
25,b,466,2017-03-19,76.05
26,c,487,2017-01-12,54.65
26,c,487,2017-01-12,40.81
26,c,487,2017-01-12,103.12
26,a,487,2017-01-12,68.14
26,a,487,2017-01-12,343.21
26,b,487,2017-01-12,87.74
26,a,487,2017-01-12,29.04
26,a,487,2017-01-12,47.93
26,a,487,2017-01-12,42.42
26,b,487,2017-01-12,85.2
27,a,520,2017-01-24,8.3
27,b,520,2017-01-24,51.31
27,a,520,2017-01-24,350.47
28,a,297,2017-03-12,228.74
28,b,297,2017-03-12,125.22
28,b,297,2017-03-12,67.79
28,a,297,2017-03-12,12.63
29,c,75,2017-03-21,9.06
29,b,75,2017-03-21,97.59
29,b,75,2017-03-21,171.97
30,a,467,2017-03-11,24.57
31,a,343,2017-02-24,10.89
31,b,343,2017-02-24,152.24
31,a,343,2017-02-24,21.53
32,a,297,2017-02-28,52.38
32,c,297,2017-02-28,30.7
32,a,297,2017-02-28,154.39
32,a,297,2017-02-28,4
32,b,297,2017-02-28,17.47
32,b,297,2017-02-28,19.55
33,b,47,2017-01-09,27.23
33,a,47,2017-01-09,166.15
33,a,47,2017-01-09,116.6
33,a,47,2017-01-09,24.65
33,a,47,2017-01-09,171.12
34,b,324,2017-01-27,151.15
34,b,324,2017-01-27,178.17
35,c,132,2017-01-25,20.8
35,a,132,2017-01-25,46.01
35,a,132,2017-01-25,24.94
35,c,132,2017-01-25,21.54
35,c,132,2017-01-25,34.66
36,a,513,2017-02-27,18.33
36,b,513,2017-02-27,14.02
36,a,513,2017-02-27,58.75
36,a,513,2017-02-27,174.91
36,c,513,2017-02-27,123.99
37,a,22,2017-04-03,140.28
37,a,22,2017-04-03,73.49
37,b,22,2017-04-03,79.95
37,b,22,2017-04-03,128.89
37,a,22,2017-04-03,87.84
37,a,22,2017-04-03,73.91
38,b,558,2017-04-06,132.36
38,a,558,2017-04-06,77.86
38,b,558,2017-04-06,51.82
38,a,558,2017-04-06,65.17
38,a,558,2017-04-06,31.78
38,a,558,2017-04-06,96.83
38,a,558,2017-04-06,252.38
39,a,397,2017-03-21,3.84
39,c,397,2017-03-21,17.87
39,b,397,2017-03-21,11.13
40,a,70,2017-01-26,174.31
40,b,70,2017-01-26,92.71
40,b,70,2017-01-26,34.94
40,b,70,2017-01-26,118.31
40,a,70,2017-01-26,132.68
40,a,70,2017-01-26,24.27
41,a,429,2017-01-28,15.02
41,a,429,2017-01-28,54.87
41,a,429,2017-01-28,53.43
41,c,429,2017-01-28,88.33
41,a,429,2017-01-28,336.19
41,b,429,2017-01-28,9.07
42,c,403,2017-01-13,14.18
42,b,403,2017-01-13,38.13
42,c,403,2017-01-13,29.56
42,a,403,2017-01-13,30.63
42,a,403,2017-01-13,17.57
43,b,199,2017-03-03,308.47
43,a,199,2017-03-03,8.1
43,b,199,2017-03-03,68.37
43,a,199,2017-03-03,315.68
44,b,541,2017-04-03,19.05
44,c,541,2017-04-03,30.3
44,c,541,2017-04-03,120.32
44,c,541,2017-04-03,103.66
44,a,541,2017-04-03,69.43
45,a,330,2017-04-07,306.62
45,b,330,2017-04-07,57.74
45,c,330,2017-04-07,43.29
45,a,330,2017-04-07,151.01
45,a,330,2017-04-07,4.64
45,a,330,2017-04-07,19.69
45,a,330,2017-04-07,48.79
46,b,496,2017-02-23,31.76
46,a,496,2017-02-23,273.72
47,b,59,2017-03-07,23.51
47,b,59,2017-03-07,99.76
47,a,59,2017-03-07,86.87
48,a,351,2017-03-07,4.51
48,b,351,2017-03-07,123.56
48,a,351,2017-03-07,107.18
48,c,351,2017-03-07,38.36
49,b,365,2017-01-24,45.05
49,a,365,2017-01-24,101.54
49,a,365,2017-01-24,205.72
49,a,365,2017-01-24,41.96
49,a,365,2017-01-24,4.64
49,a,365,2017-01-24,10.5
49,a,365,2017-01-24,4.1
50,a,203,2017-01-30,37.26
50,a,203,2017-01-30,59.85
50,a,203,2017-01-30,205.84
50,a,203,2017-01-30,35.25
50,b,203,2017-01-30,178.4
51,a,133,2017-02-24,5.21
51,a,133,2017-02-24,102.05
51,a,133,2017-02-24,16.85
52,a,144,2017-04-04,27.71
52,c,144,2017-04-04,28.73
52,c,144,2017-04-04,51.98
52,a,144,2017-04-04,53.64
52,b,144,2017-04-04,15.55
52,b,144,2017-04-04,153.72
52,a,144,2017-04-04,262.94
52,a,144,2017-04-04,92.43
52,a,144,2017-04-04,54.96
52,a,144,2017-04-04,300.29
52,a,144,2017-04-04,18.37
52,a,144,2017-04-04,41.88
52,c,144,2017-04-04,49.8
53,a,418,2017-02-05,88.63
53,a,418,2017-02-05,15.82
53,a,418,2017-02-05,36.41
53,a,418,2017-02-05,15.93
53,a,418,2017-02-05,38.37
53,a,418,2017-02-05,180.56
53,b,418,2017-02-05,4.23
54,b,452,2017-02-01,10.67
54,a,452,2017-02-01,160.92
54,a,452,2017-02-01,21.67
54,a,452,2017-02-01,55.19
54,b,452,2017-02-01,54.27
54,c,452,2017-02-01,241.55
55,a,494,2017-01-25,77.95
55,a,494,2017-01-25,240.61
55,a,494,2017-01-25,28.04
55,a,494,2017-01-25,31.78
55,a,494,2017-01-25,195.15
55,a,494,2017-01-25,55.3
55,b,494,2017-01-25,26.18
55,b,494,2017-01-25,199.91
55,c,494,2017-01-25,113.43
56,b,163,2017-03-01,148.29
57,a,340,2017-03-17,19.14
57,a,340,2017-03-17,56.75
57,b,340,2017-03-17,122.96
57,a,340,2017-03-17,11.07
58,a,238,2017-02-15,34.91
58,a,238,2017-02-15,44.27
58,b,238,2017-02-15,440.2
58,a,238,2017-02-15,162.61
58,c,238,2017-02-15,176.34
59,a,181,2017-01-16,11.11
60,b,42,2017-03-02,81.86
60,a,42,2017-03-02,162.03
60,a,42,2017-03-02,100.51
60,a,42,2017-03-02,27.97
61,a,306,2017-02-20,44.41
61,a,306,2017-02-20,228.8
61,b,306,2017-02-20,82.9
61,a,306,2017-02-20,176.57
61,a,306,2017-02-20,119.79
61,b,306,2017-02-20,47.13
61,b,306,2017-02-20,155.71
62,b,521,2017-01-19,152.89
62,b,521,2017-01-19,105.42
62,b,521,2017-01-19,63.88
62,b,521,2017-01-19,26.87
62,a,521,2017-01-19,132.71
62,a,521,2017-01-19,65.54
62,c,521,2017-01-19,9.66
63,c,108,2017-03-10,273.92
63,a,108,2017-03-10,158.63
63,c,108,2017-03-10,5.42
63,b,108,2017-03-10,99.82
63,a,108,2017-03-10,211.05
64,c,99,2017-03-21,0.11
64,a,99,2017-03-21,106.37
64,a,99,2017-03-21,190.34
65,a,532,2017-03-24,75.11
65,a,532,2017-03-24,2.58
65,c,532,2017-03-24,92.34
66,a,428,2017-02-12,73.27
66,a,428,2017-02-12,210.53
67,b,74,2017-02-16,3.24
67,a,74,2017-02-16,33.58
67,c,74,2017-02-16,23.08
67,a,74,2017-02-16,104.48
68,a,198,2017-03-14,66.16
68,b,198,2017-03-14,124.85
69,b,200,2017-04-02,385.21
69,a,200,2017-04-02,38.99
69,a,200,2017-04-02,26.85
69,a,200,2017-04-02,107.93
69,a,200,2017-04-02,52.84
70,a,325,2017-02-20,72.33
70,b,325,2017-02-20,77.73
70,b,325,2017-02-20,262.5
71,b,356,2017-02-11,177.89
71,a,356,2017-02-11,48.19
71,a,356,2017-02-11,24.52
72,a,13,2017-01-26,65.57
72,b,13,2017-01-26,10.3
72,b,13,2017-01-26,22.54
72,b,13,2017-01-26,257.09
72,a,13,2017-01-26,14.85
72,a,13,2017-01-26,269.65
72,a,13,2017-01-26,241.55
73,a,363,2017-02-20,109.69
73,a,363,2017-02-20,133.44
73,b,363,2017-02-20,17.1
73,a,363,2017-02-20,141.01
73,b,363,2017-02-20,94.6
73,a,363,2017-02-20,323.38
73,b,363,2017-02-20,41.36
74,a,128,2017-02-11,20.91
74,c,128,2017-02-11,62.37
74,b,128,2017-02-11,295.62
74,a,128,2017-02-11,17.51
74,a,128,2017-02-11,148.63
74,a,128,2017-02-11,202.57
74,a,128,2017-02-11,185.57
75,b,211,2017-02-13,158.12
75,a,211,2017-02-13,108.33
75,c,211,2017-02-13,105.06
75,a,211,2017-02-13,271.23
75,c,211,2017-02-13,71.18
75,b,211,2017-02-13,67.8
75,b,211,2017-02-13,31.24
76,a,1,2017-03-05,49.73
76,a,1,2017-03-05,116.67
77,a,317,2017-03-22,300.79
77,a,317,2017-03-22,70.56
77,a,317,2017-03-22,32.05
77,c,317,2017-03-22,329.97
77,a,317,2017-03-22,357.78
77,c,317,2017-03-22,156.64
78,b,30,2017-01-11,233.18
78,c,30,2017-01-11,51.75
78,c,30,2017-01-11,32.94
78,a,30,2017-01-11,10.13
78,a,30,2017-01-11,39.38
79,a,107,2017-02-03,42.95
79,c,107,2017-02-03,205.65
79,b,107,2017-02-03,40.2
80,a,98,2017-01-30,44.76
81,a,109,2017-02-19,143.94
81,b,109,2017-02-19,83.13
81,b,109,2017-02-19,181.31
81,a,109,2017-02-19,113.76
81,a,109,2017-02-19,23
81,a,109,2017-02-19,8.77
82,a,122,2017-04-04,3.69
82,a,122,2017-04-04,229.3
82,a,122,2017-04-04,49.86
82,a,122,2017-04-04,305.98
82,a,122,2017-04-04,115.44
82,b,122,2017-04-04,150
83,a,539,2017-02-04,0.99
83,b,539,2017-02-04,13.43
83,a,539,2017-02-04,48.72
84,b,159,2017-03-26,41.94
84,c,159,2017-03-26,89.93
84,a,159,2017-03-26,18.73
85,b,520,2017-03-29,97.09
85,a,520,2017-03-29,5.84
85,a,520,2017-03-29,50.86
85,a,520,2017-03-29,61.28
85,b,520,2017-03-29,195.82
85,a,520,2017-03-29,73.56
86,b,260,2017-01-22,63.7
87,a,385,2017-02-18,269.22
87,a,385,2017-02-18,186.4
87,c,385,2017-02-18,4.26
87,a,385,2017-02-18,118.98
88,a,376,2017-04-09,62.71
88,a,376,2017-04-09,96.82
88,b,376,2017-04-09,51.11
89,b,112,2017-03-30,38.42
89,b,112,2017-03-30,241.91
89,b,112,2017-03-30,17.48
89,a,112,2017-03-30,117.15
89,a,112,2017-03-30,84.1
90,a,30,2017-02-17,51.98
90,a,30,2017-02-17,8.96
90,a,30,2017-02-17,12.37
90,c,30,2017-02-17,267.03
90,a,30,2017-02-17,155.65
90,a,30,2017-02-17,57.11
90,a,30,2017-02-17,76.17
91,a,225,2017-04-11,6.49
91,a,225,2017-04-11,9.02
91,c,225,2017-04-11,16
91,c,225,2017-04-11,27.76
91,a,225,2017-04-11,1.64
92,a,72,2017-03-15,74.78
92,a,72,2017-03-15,34.54
92,c,72,2017-03-15,73.4
93,b,344,2017-01-06,185.98
93,c,344,2017-01-06,76.25
93,c,344,2017-01-06,253.85
94,b,486,2017-03-30,23.14
94,a,486,2017-03-30,59.84
94,a,486,2017-03-30,57.39
94,b,486,2017-03-30,40.06
95,c,469,2017-04-11,135.07
95,c,469,2017-04-11,110.97
95,a,469,2017-04-11,131.55
96,b,486,2017-03-09,37.31
96,a,486,2017-03-09,194.72
96,a,486,2017-03-09,277.22
97,a,85,2017-02-20,72.52
98,a,467,2017-02-15,69.29
98,b,467,2017-02-15,155.05
99,a,211,2017-02-05,43.09
99,a,211,2017-02-05,148.9
99,b,211,2017-02-05,244.42
99,a,211,2017-02-05,10.04
99,a,211,2017-02-05,46.48
99,a,211,2017-02-05,103.63
99,a,211,2017-02-05,56.73
99,b,211,2017-02-05,266.67
100,a,239,2017-03-25,380.98
100,a,239,2017-03-25,231.33
101,a,353,2017-02-18,157.78
101,b,353,2017-02-18,306.82
101,b,353,2017-02-18,91
101,a,353,2017-02-18,114.81
102,a,191,2017-01-27,141.2
102,a,191,2017-01-27,89.18
102,a,191,2017-01-27,27.66
102,a,191,2017-01-27,10.37
103,b,9,2017-02-16,207.48
103,b,9,2017-02-16,29.37
104,a,74,2017-03-14,178.79
104,a,74,2017-03-14,21.23
104,a,74,2017-03-14,159.71
104,a,74,2017-03-14,15.67
105,a,499,2017-01-11,92.77
105,a,499,2017-01-11,277.04
105,a,499,2017-01-11,724.6
105,a,499,2017-01-11,139.81
106,b,442,2017-03-13,8.81
107,a,545,2017-01-30,39.21
107,c,545,2017-01-30,135.06
107,a,545,2017-01-30,23.01
108,b,62,2017-01-19,89.24
108,c,62,2017-01-19,18.7
108,a,62,2017-01-19,190.68
109,a,487,2017-01-07,255.16
109,a,487,2017-01-07,51.1
109,a,487,2017-01-07,219.88
110,a,28,2017-02-02,64.19
110,a,28,2017-02-02,16.97
110,a,28,2017-02-02,386.11
110,a,28,2017-02-02,47.32
110,a,28,2017-02-02,95.52
111,a,308,2017-03-29,95.7
111,a,308,2017-03-29,5.69
111,a,308,2017-03-29,25.41
112,a,401,2017-03-12,117.96
112,a,401,2017-03-12,90.23
112,b,401,2017-03-12,40.82
112,a,401,2017-03-12,3.38
112,a,401,2017-03-12,480.58
112,a,401,2017-03-12,36.23
112,c,401,2017-03-12,242.61
112,b,401,2017-03-12,29.42
113,b,105,2017-01-29,56.03
113,a,105,2017-01-29,214.4
113,a,105,2017-01-29,96.22
114,a,133,2017-01-16,166.92
114,a,133,2017-01-16,68.01
114,a,133,2017-01-16,82.61
114,b,133,2017-01-16,42.5
114,c,133,2017-01-16,8.23
114,a,133,2017-01-16,123.47
115,b,70,2017-04-06,13.07
115,a,70,2017-04-06,29.99
115,a,70,2017-04-06,95.93
115,c,70,2017-04-06,31.39
115,b,70,2017-04-06,15.19
115,a,70,2017-04-06,473.67
115,a,70,2017-04-06,143.25
115,b,70,2017-04-06,7.2
115,b,70,2017-04-06,45.8
115,a,70,2017-04-06,13.37
116,a,496,2017-03-24,92.14
116,a,496,2017-03-24,42.8
116,a,496,2017-03-24,165.18
116,a,496,2017-03-24,59.51
116,b,496,2017-03-24,171.02
117,b,164,2017-01-09,150.22
117,c,164,2017-01-09,3.86
118,a,395,2017-03-01,144.97
118,b,395,2017-03-01,826.6
118,b,395,2017-03-01,14.49
118,a,395,2017-03-01,85.35
118,a,395,2017-03-01,68.26
118,a,395,2017-03-01,10.26
118,a,395,2017-03-01,42.65
118,a,395,2017-03-01,174.76
119,b,506,2017-02-23,35.95
119,b,506,2017-02-23,234.01
119,a,506,2017-02-23,55.63
119,b,506,2017-02-23,186.48
119,a,506,2017-02-23,32.49
119,a,506,2017-02-23,5.73
119,b,506,2017-02-23,29.23
119,a,506,2017-02-23,164.52
119,a,506,2017-02-23,536.85
119,c,506,2017-02-23,26.57
120,a,237,2017-02-20,61.08
120,a,237,2017-02-20,170.49
120,a,237,2017-02-20,17.54
121,a,384,2017-02-04,114.96
121,a,384,2017-02-04,299.88
121,a,384,2017-02-04,58.39
121,b,384,2017-02-04,119.53
122,b,523,2017-03-21,41.09
122,a,523,2017-03-21,192.58
122,b,523,2017-03-21,85.12
122,a,523,2017-03-21,46.72
122,a,523,2017-03-21,50.86
123,a,259,2017-03-01,95.37
124,a,231,2017-01-03,5.99
124,c,231,2017-01-03,120.98
124,a,231,2017-01-03,21.08
124,b,231,2017-01-03,109.92
124,b,231,2017-01-03,150.78
125,a,361,2017-01-24,17.1
125,a,361,2017-01-24,3.65
125,b,361,2017-01-24,31.67
125,a,361,2017-01-24,24.45
126,a,157,2017-04-08,187.93
126,b,157,2017-04-08,31.67
126,b,157,2017-04-08,12.16
126,a,157,2017-04-08,4.88
127,a,7,2017-02-25,88.48
127,a,7,2017-02-25,70.79
128,b,90,2017-04-10,96.63
128,b,90,2017-04-10,117.85
128,a,90,2017-04-10,2.01
128,a,90,2017-04-10,285.46
128,a,90,2017-04-10,3.35
128,b,90,2017-04-10,42.43
129,a,358,2017-03-12,132.46
129,a,358,2017-03-12,78.27
129,a,358,2017-03-12,219.47
129,a,358,2017-03-12,110.28
129,c,358,2017-03-12,194.74
129,b,358,2017-03-12,3.36
130,a,195,2017-01-09,37.03
130,a,195,2017-01-09,326.11
130,b,195,2017-01-09,28.6
130,c,195,2017-01-09,117.52
130,a,195,2017-01-09,25.03
130,a,195,2017-01-09,73.81
130,b,195,2017-01-09,487.43
131,a,421,2017-03-17,337.72
132,a,225,2017-01-17,51.53
132,a,225,2017-01-17,104.35
132,a,225,2017-01-17,149.76
132,c,225,2017-01-17,67.14
132,a,225,2017-01-17,147.74
132,a,225,2017-01-17,169.31
132,a,225,2017-01-17,44.1
133,a,212,2017-03-25,80.08
133,b,212,2017-03-25,15.61
133,a,212,2017-03-25,45.17
133,c,212,2017-03-25,77.06
133,b,212,2017-03-25,263.68
134,a,313,2017-01-25,128.36
134,b,313,2017-01-25,24.67
134,a,313,2017-01-25,191.32
135,b,436,2017-04-11,16.13
135,a,436,2017-04-11,26.45
135,a,436,2017-04-11,252.87
135,b,436,2017-04-11,118.27
136,a,356,2017-03-30,44.97
136,b,356,2017-03-30,51.94
136,a,356,2017-03-30,6.97
136,a,356,2017-03-30,217.45
136,b,356,2017-03-30,94.3
136,b,356,2017-03-30,44.82
137,a,200,2017-03-22,91.35
137,b,200,2017-03-22,262.57
137,b,200,2017-03-22,86.41
138,b,139,2017-01-28,58.6
138,b,139,2017-01-28,156.06
139,a,212,2017-01-16,213.66
139,b,212,2017-01-16,116.95
139,a,212,2017-01-16,223.34
140,b,91,2017-03-11,70.54
140,a,91,2017-03-11,251.47
140,a,91,2017-03-11,18.59
141,c,379,2017-01-28,255.98
141,a,379,2017-01-28,91.46
141,a,379,2017-01-28,103.12
141,a,379,2017-01-28,60.5
142,b,270,2017-03-30,110.86
142,a,270,2017-03-30,340.35
142,b,270,2017-03-30,13.25
142,a,270,2017-03-30,93.03
143,a,424,2017-01-28,73.96
143,a,424,2017-01-28,54.57
144,a,96,2017-03-09,306.83
144,b,96,2017-03-09,20.39
144,a,96,2017-03-09,6.56
144,b,96,2017-03-09,38.53
144,b,96,2017-03-09,125.25
144,b,96,2017-03-09,132.94
144,c,96,2017-03-09,75.21
144,a,96,2017-03-09,86.47
145,b,388,2017-02-03,95.98
145,a,388,2017-02-03,82.32
145,a,388,2017-02-03,73.06
145,a,388,2017-02-03,261.32
145,c,388,2017-02-03,470.99
145,b,388,2017-02-03,46.66
145,a,388,2017-02-03,53.68
145,a,388,2017-02-03,198.28
146,b,481,2017-02-27,40.91
146,a,481,2017-02-27,192.42
146,a,481,2017-02-27,76.42
146,a,481,2017-02-27,343.2
147,b,90,2017-04-01,25.72
147,b,90,2017-04-01,24.71
147,b,90,2017-04-01,119.75
147,a,90,2017-04-01,28.57
147,a,90,2017-04-01,103.81
147,a,90,2017-04-01,67.17
147,c,90,2017-04-01,37.4
147,a,90,2017-04-01,204.72
147,a,90,2017-04-01,6.27
148,a,335,2017-01-04,60.75
148,a,335,2017-01-04,142.81
148,a,335,2017-01-04,50.42
148,b,335,2017-01-04,93.88
149,b,508,2017-01-30,154.47
149,a,508,2017-01-30,264.79
150,a,127,2017-02-06,38.28
150,a,127,2017-02-06,10.99
150,a,127,2017-02-06,52.13
150,a,127,2017-02-06,116.92
151,a,361,2017-01-24,55.57
151,a,361,2017-01-24,426.39
151,a,361,2017-01-24,52.48
152,c,497,2017-03-17,206.6
152,a,497,2017-03-17,33.09
152,c,497,2017-03-17,4.43
152,b,497,2017-03-17,28.28
152,a,497,2017-03-17,26.48
153,a,229,2017-01-11,75.62
154,a,469,2017-01-30,77.63
154,c,469,2017-01-30,22.18
154,b,469,2017-01-30,43.58
155,c,196,2017-02-12,9.74
156,c,271,2017-03-17,155.47
156,b,271,2017-03-17,80.06
156,a,271,2017-03-17,76.12
156,c,271,2017-03-17,78.92
156,b,271,2017-03-17,49.59
157,a,292,2017-02-01,83.36
157,a,292,2017-02-01,143.3
157,a,292,2017-02-01,41
158,b,374,2017-04-05,29.31
158,c,374,2017-04-05,113.66
158,a,374,2017-04-05,19.88
158,a,374,2017-04-05,31.04
159,b,530,2017-02-04,259.66
159,a,530,2017-02-04,17.44
159,a,530,2017-02-04,15.59
159,a,530,2017-02-04,9.84
160,b,394,2017-01-12,54.03
160,a,394,2017-01-12,70.63
160,c,394,2017-01-12,187.7
160,a,394,2017-01-12,37.42
160,a,394,2017-01-12,25.3
160,c,394,2017-01-12,22.87
161,a,249,2017-02-19,149.7
162,a,411,2017-03-14,1.96
162,c,411,2017-03-14,16.35
162,c,411,2017-03-14,3.08
163,b,348,2017-01-28,33.7
163,a,348,2017-01-28,94.74
163,a,348,2017-01-28,168.81
163,b,348,2017-01-28,75.52
163,c,348,2017-01-28,29.39
163,b,348,2017-01-28,54.81
163,a,348,2017-01-28,130.8
164,a,413,2017-01-27,28.89
164,c,413,2017-01-27,42.42
165,a,315,2017-03-07,197.31
165,a,315,2017-03-07,90.09
165,a,315,2017-03-07,16.37
166,b,418,2017-01-12,31.79
166,a,418,2017-01-12,20.73
166,a,418,2017-01-12,73.88
166,b,418,2017-01-12,8.81
166,b,418,2017-01-12,101.1
167,b,328,2017-02-18,37.2
167,a,328,2017-02-18,105.45
167,b,328,2017-02-18,60.67
167,a,328,2017-02-18,76.42
167,b,328,2017-02-18,85.58
167,a,328,2017-02-18,310.44
167,a,328,2017-02-18,179.59
167,b,328,2017-02-18,152.12
167,a,328,2017-02-18,455.23
167,a,328,2017-02-18,35.3
167,b,328,2017-02-18,121.55
168,a,402,2017-02-13,6.06
168,b,402,2017-02-13,82.33
168,a,402,2017-02-13,15.25
168,c,402,2017-02-13,3.83
168,a,402,2017-02-13,17.97
169,a,360,2017-02-03,38.87
169,b,360,2017-02-03,25.42
169,a,360,2017-02-03,47.72
169,a,360,2017-02-03,39.44
169,a,360,2017-02-03,62.58
169,b,360,2017-02-03,348.93
169,c,360,2017-02-03,290.76
169,b,360,2017-02-03,83.7
170,a,323,2017-01-12,0.37
170,a,323,2017-01-12,60.08
170,a,323,2017-01-12,391.8
170,a,323,2017-01-12,11.05
170,b,323,2017-01-12,12.24
170,c,323,2017-01-12,113.9
171,b,211,2017-02-21,344.92
171,a,211,2017-02-21,12.82
171,b,211,2017-02-21,8.62
172,a,401,2017-02-23,3.25
172,a,401,2017-02-23,65.27
173,b,370,2017-02-27,371.78
173,b,370,2017-02-27,6.03
173,b,370,2017-02-27,89.4
173,b,370,2017-02-27,140.95
174,a,58,2017-01-21,129.26
174,a,58,2017-01-21,262.55
174,a,58,2017-01-21,72.27
174,a,58,2017-01-21,21.85
175,b,300,2017-03-28,40.75
175,c,300,2017-03-28,112.22
175,c,300,2017-03-28,17.59
176,b,542,2017-01-21,405.07
176,b,542,2017-01-21,92.93
176,a,542,2017-01-21,149.88
176,b,542,2017-01-21,63.08
176,a,542,2017-01-21,111.47
177,a,321,2017-02-20,253.93
177,c,321,2017-02-20,63.32
178,a,420,2017-01-17,14.04
178,b,420,2017-01-17,18.9
178,a,420,2017-01-17,145.78
178,b,420,2017-01-17,89.54
178,a,420,2017-01-17,133.08
178,a,420,2017-01-17,6.74
178,a,420,2017-01-17,114.85
178,a,420,2017-01-17,27.8
179,b,503,2017-02-26,207.36
179,b,503,2017-02-26,258.95
179,b,503,2017-02-26,5.68
180,a,253,2017-02-23,166.99
180,b,253,2017-02-23,41.85
180,b,253,2017-02-23,126.38
180,a,253,2017-02-23,210.79
180,b,253,2017-02-23,17.97
181,a,489,2017-03-27,42.95
181,a,489,2017-03-27,20.99
181,a,489,2017-03-27,75.67
181,c,489,2017-03-27,28.09
182,a,159,2017-01-18,135.83
182,a,159,2017-01-18,150.22
182,c,159,2017-01-18,163.58
182,b,159,2017-01-18,92.27
182,a,159,2017-01-18,73.7
182,b,159,2017-01-18,79.77
183,a,201,2017-02-26,36.01
183,a,201,2017-02-26,101.39
183,c,201,2017-02-26,39.4
183,a,201,2017-02-26,105.22
183,a,201,2017-02-26,175.74
183,a,201,2017-02-26,241.53
184,a,179,2017-03-30,59.4
184,a,179,2017-03-30,108.77
184,a,179,2017-03-30,113.48
184,b,179,2017-03-30,45.47
185,a,58,2017-02-19,63.34
185,a,58,2017-02-19,35.17
185,b,58,2017-02-19,82.27
186,a,159,2017-01-18,161.26
186,a,159,2017-01-18,81.32
187,c,327,2017-03-30,204.67
187,a,327,2017-03-30,97.72
188,b,33,2017-03-20,189.09
